property_id,suburb,address,property_type,bedrooms,bathrooms,parking,land_size_sqm,building_size_sqm,sold_price,sold_date,sale_method,agency,distance_to_station_km,description,source_site,listing_url,date_collected,notes
P022,Parramatta,15/7-11 Elizabeth Street,Apartment,2,1,1,,112,650000,25/07/2026,Auction,McGrath Parramatta,,Privately positioned on the top floor of a tightly held Parramatta river…,domain.com.au,https://www.domain.com.au/15-7-11-elizabeth-street-parramatta-nsw-2150-2020959149,25/09/2026,
P023,Parramatta,108/125-129 Arthur Street,Apartment,2,1,1,,89,653000,21/08/2026,Private treaty,McGrath Parramatta,,"Fully Completed & Ready To Move In An attractive, boutique-scale development by…",domain.com.au,https://www.domain.com.au/108-125-129-arthur-street-parramatta-nsw-2150-2021092190,25/09/2026,
P024,Parramatta,219/88 Church Street,Apartment,1,1,1,,72,600000,21/08/2026,Private treaty,Ray White Parramatta/Oatlands/Northmead,,We've been overwhelmed by the amount of interest in similar properties…,domain.com.au,https://www.domain.com.au/219-88-church-street-parramatta-nsw-2150-2020908510,25/09/2026,Description is agency boilerplate text.
P025,Parramatta,41/3 Good Street,Apartment,2,2,1,,132,641000,21/08/2026,Private treaty,McGrath Parramatta,,"Positioned on the third floor of a secure and sought-after complex, this…",domain.com.au,https://www.domain.com.au/41-3-good-street-parramatta-nsw-2150-2020959193,25/09/2026,
P026,Parramatta,1502/88 Church Street,Apartment,2,2,1,,,800000,21/08/2026,Private treaty,Manor Real Estate,,"Perfectly positioned in the heart of Parramatta, this stylish two-bedroom, two-bathroom apartment…",domain.com.au,https://www.domain.com.au/1502-88-church-street-parramatta-nsw-2150-2020980839,25/09/2026,
P027,Parramatta,11/22-24 Tennyson Street,Apartment,2,2,1,,87,650000,17/08/2026,Private treaty,Laing & Simmons Parramatta Granville Oatlands Carlingford,,"Representing outstanding value, this huge third floor dual-key opportunity delivers the ultimate…",domain.com.au,https://www.domain.com.au/11-22-24-tennyson-street-parramatta-nsw-2150-2020720243,25/09/2026,
P028,Parramatta,721/1-3 Valentine Avenue,Apartment,0,1,,,,250000,17/08/2026,Private treaty,Thank You Real Estate,,Discover a brilliant investment opportunity strategically located in the heart of Parramatta…,domain.com.au,https://www.domain.com.au/721-1-3-valentine-avenue-parramatta-nsw-2150-2021079825,25/09/2026,Very low price - small investment/serviced apartment.
C016,Chatswood,54/1 Day Street,Apartment,2,2,1,,185,1928000,13/08/2026,Private treaty,Ray White AY Realty Chatswood,,"This stunning dual level penthouse in Mirvac's acclaimed 'Pacific Place', is a…",domain.com.au,https://www.domain.com.au/54-1-day-street-chatswood-nsw-2067-2019715688,25/09/2026,"Land 200 m2 removed - shared strata land, not owned by the apartment. Dual-level penthouse."
C017,Chatswood,1205/1 Cambridge Lane,Apartment,2,2,1,,,1951000,11/08/2026,Private treaty,Century 21 North Group,,"Experience the perfect blend of luxury, convenience and resort-style living in the…",domain.com.au,https://www.domain.com.au/1205-1-cambridge-lane-chatswood-nsw-2067-2020985005,25/09/2026,
C018,Chatswood,806/38C Albert Avenue,Apartment,3,2,2,,147,2200000,04/08/2026,Private treaty,Ray White AY Realty Chatswood,,"Elevated for an alluring and unrestricted outlook across the district, this superb…",domain.com.au,https://www.domain.com.au/806-38c-albert-avenue-chatswood-nsw-2067-2020728813,25/09/2026,"Land 857 m2 removed - shared strata land, not owned by the apartment."
C019,Chatswood,5/377 Mowbray Road,Apartment,2,2,2,,96,892500,24/07/2026,Private treaty,Ray White AY Realty Chatswood,,"Privately positioned at the peaceful rear of a boutique security complex, this…",domain.com.au,https://www.domain.com.au/5-377-mowbray-road-rear-of-block-chatswood-nsw-2067-2020944354,25/09/2026,
C020,Chatswood,8/236 Victoria Avenue,Apartment,3,2,2,,,1680000,17/07/2026,Private treaty,Ray White AY Realty Chatswood,,"Elevated on the top-floor corner of an exclusive boutique block of nine,…",domain.com.au,https://www.domain.com.au/8-236-victoria-avenue-chatswood-nsw-2067-2020774627,25/09/2026,
C021,Chatswood,2002/1 Cambridge Lane,Apartment,3,2,2,,194,2628000,15/07/2026,Private treaty,Ray White AY Realty Chatswood,,"Positioned high on the 20th floor of the prestigious Mirvac development 'Cambridge',…",domain.com.au,https://www.domain.com.au/2002-1-cambridge-lane-chatswood-nsw-2067-2020778330,25/09/2026,
C022,Chatswood,203/58 Hercules Street,Apartment,2,1,1,,,1515000,14/07/2026,Private treaty,Everest Realty Pty Ltd,,"Discover the epitome of modern living at this sleek 2-bedroom, 1-bathroom apartment…",domain.com.au,https://www.domain.com.au/203-58-hercules-street-chatswood-nsw-2067-2020767713,25/09/2026,
C023,Chatswood,8H/8-12 Sutherland Road,Apartment,1,1,1,,,745000,08/07/2026,,Shead Property,,"A versatile floor plan offers a stylish combined living and dining area,…",domain.com.au,https://www.domain.com.au/8h-8-12-sutherland-road-chatswood-nsw-2067-2020954395,25/09/2026,
C024,Chatswood,502/13 Oscar Street,Apartment,3,2,1,,,2450000,30/06/2026,Private treaty,Successful Properties Group,,"Perfectly positioned in the absolute heart of Chatswood, this exceptional residence delivers…",domain.com.au,https://www.domain.com.au/502-13-oscar-street-chatswood-nsw-2067-2020852608,25/09/2026,
C025,Chatswood,306/18 Freeman Road,Apartment,2,2,1,,,1300000,26/06/2026,Private treaty,Ray White AY Realty Chatswood,,"Quietly secluded on the 3rd floor of the exceptional security block, this…",domain.com.au,https://www.domain.com.au/306-18-freeman-road-chatswood-nsw-2067-2019398525,25/09/2026,
C026,Chatswood,40/18 Jacques Street,Apartment,2,2,2,,145,1575000,26/06/2026,,Ray White AY Realty Chatswood,,"Architecturally stunning with a distinctive house-like design, this extraordinary dual level residence…",domain.com.au,https://www.domain.com.au/40-18-jacques-street-chatswood-nsw-2067-2020902339,25/09/2026,"Land 627 m2 removed - shared strata land, not owned by the apartment."
